names,gender,probability,count
Abtullah,unknown,unknown,
Abu,male,0.97,
Abubakar,male,1,
Abudukadier,unknown,unknown,unknown
Abul,male,1,
Abuzer,male,0.83,
Achi,male,0.6,5
Achiahu,unknown,unknown,unknown
Achille,male,1,
Achilleas,male,1,
Achilles,male,1,11
Achillieas,unknown,unknown,unknown
Achim,male,1,
Achint,male,0.67,3
Achuta,unknown,unknown,unknown
Achyut,male,1,2
Acke,unknown,unknown,
Aclan,unknown,unknown,
Ad,male,0.88,
Ada,female,0.96,
Adaani,unknown,unknown,unknown
Adad,unknown,unknown,
Adalberto,male,1,
Adalena,unknown,unknown,unknown
Adalet,female,1,
Adam,male,1,
Adara,female,1,
Adauri,unknown,unknown,
Adaya,unknown,unknown,unknown
Addisalem,unknown,unknown,
Addison,male,0.64,
Addisu,male,1,
Addy,female,0.75,40
Adebowale,male,1,5
Adebukoa,unknown,unknown,
Adebukola,female,0.5,
Adedayo,male,0.83,
Adedigbo,unknown,unknown,unknown
Adeeb,male,1,
Adeeba,unknown,unknown,unknown
Adeel,male,1,
Adeera,unknown,unknown,unknown
Adekunle,male,0.86,7
Adel,male,0.96,
Adela,female,0.99,200
Adelaida,female,1,
Adelaide,female,1,36
Adele,female,1,
Adelheid,female,1,2
Adelina,female,0.95,56
Adeline,female,1,
Adelino,male,1,9
Adelita,female,1,4
Adelle,female,1,
Adem,male,0.99,
Ademir,male,1,21
Ademola,male,1,10
Adenalva,unknown,unknown,unknown
Adenauer,unknown,unknown,unknown
Adeoye,male,1,3
Aderonke,female,0.67,
Adesanmi,unknown,unknown,
Adewumi,female,1,
Adhir,male,1,1
Adhiraj,male,1,4
Adi,male,0.58,
Adib,male,1,
Adil,male,0.99,
Adili,unknown,unknown,unknown
Adina,female,1,99
Adinarayana,male,1,1
Adis,male,0.94,17
Adisai,male,1,1
Aditi,female,1,
Aditya,male,1,
Adlane,male,1,2
Admir,male,0.95,22
Adnan,male,1,
Adnane,male,1,
Adolf,male,1,
Adolfo,male,1,
Adolph,male,0.92,13
Adolphe,unknown,unknown,unknown
Adolphus,unknown,unknown,unknown
Adreienne,unknown,unknown,
Adri,female,0.75,
Adria,female,0.7,20
Adriaan,male,1,
Adrian,male,0.97,
Adriana,female,1,
Adriane,female,0.98,60
Adriano,male,0.99,
Adrianus,male,1,5
Adrie,female,0.67,3
Adrien,male,0.98,
Adrienn,female,1,13
Adrienne,female,1,
Adrija,female,1,
Adviye,female,1,
Ady,female,0.64,
Ae,male,0.8,20
Aeiko,unknown,unknown,unknown
Aeilko,unknown,unknown,unknown
Aekarach,unknown,unknown,unknown
Aenor,unknown,unknown,
Aernout,male,1,1
Aesha,female,1,
Afaf,female,1,
Affan,male,1,13
Afksendiyos,unknown,unknown,unknown
Afksendyios,unknown,unknown,unknown
Afonso,male,0.93,14
Afsaneh,female,1,10
Afschin,unknown,unknown,
Afshan,female,1,15
Afshar,unknown,unknown,
Afshin,male,1,
Aftab,male,1,36
Afzal,male,1,21
Agabiti,unknown,unknown,unknown
Agata,female,0.99,91
Agatha,female,1,47
Agathe,female,1,
Agathi,female,1,2
Agazio,unknown,unknown,
Ageliki,female,1,4
Aggelos,male,1,
Aggie,female,1,32
Agha,male,1,5
Agnes,female,1,
Agnés,female,1,
Agnès,female,1,
Agnese,female,1,33
Agneta,female,1,
Agnieska,female,1,1
Agnieszka,female,1,
Agnita,unknown,unknown,
Agnivesh,unknown,unknown,
Agostino,male,1,
Agu,male,0.7,10
Agustin,male,0.99,345
Ah,male,0.59,130
Ahad,male,0.89,
Ahamed,male,1,9
Aharon,male,1,
Ah-Cheng,unknown,unknown,
Ahi,male,1,
Ahilan,unknown,unknown,
Ahmad,male,0.99,
Ahmadreza,male,1,
Ahmar,male,1,3
Ahmed,male,0.99,
Ahmer,male,1,
Ahmet,male,0.99,
Ahn,female,0.5,2
Ahno,unknown,unknown,unknown
Ahsan,male,1,51
Ahuva,female,1,1
Ahyoung,female,1,1
Ai,female,0.95,
Aiala,unknown,unknown,unknown
Aicha,female,0.97,34
Aichi,unknown,unknown,
Aida,female,0.99,
Aidan,male,0.98,167
Aiden,male,0.97,
Aidin,female,0.5,
Aierken,unknown,unknown,unknown
Ai-Fen,unknown,unknown,
Aigang,unknown,unknown,
Aigul,female,1,1
Aiguo,unknown,unknown,
Aiharu,unknown,unknown,
Aihua,unknown,unknown,unknown
Aiilyan,unknown,unknown,unknown
Aiji,unknown,unknown,unknown
Aijing,unknown,unknown,unknown
Aij-Lie,unknown,unknown,
Aijun,unknown,unknown,unknown
Aikaterini,unknown,unknown,unknown
Aiki,male,1,
Aiko,female,1,16
Aila,female,1,11
Ailbhe,female,1,5
Aileen,female,1,
Aili,female,0.8,
Ai-Li,unknown,unknown,
Ailin,female,0.94,16
Ailish,female,1,
Ailsa,female,1,15
Ailton,male,1,
Ailu,female,1,9
Aiman,female,0.55,29
Aimee,female,1,
Aimilia,female,1,3
Aimin,male,1,
Ai-Min,unknown,unknown,
Aimo,unknown,unknown,unknown
Aina,female,0.98,
Ainat,unknown,unknown,unknown
Aine,female,0.98,
Aino,female,1,23
Ainsley,unknown,unknown,
Ainslie,female,1,13
Aiqin,unknown,unknown,unknown
Aiqun,unknown,unknown,unknown
Ai-Qun,unknown,unknown,
Airong,unknown,unknown,unknown
Airton,male,1,
Aisah,female,1,2
Aischa,unknown,unknown,unknown
Aisha,female,1,
Aisheng,unknown,unknown,unknown
Aishwarya,female,0.91,33
Aissata,female,1,5
Aitor,male,1,71
Ai-Wei,unknown,unknown,
Aixing,unknown,unknown,
Aiyang,unknown,unknown,unknown
Ajai,male,1,6
Ajar,male,1,1
Ajax,male,0.67,
Ajay,male,0.99,
Ajazuddin,unknown,unknown,unknown
Ajeya,unknown,unknown,unknown
Aji,male,0.94,32
Ajibola,unknown,unknown,
Ajinkya,male,1,
Ajit,male,0.95,
Ajita,female,1,1
Ajith,male,1,
Ajmal,male,0.92,13
Ajoy,male,1,
Aju,male,1,9
Ak,male,0.87,
Akane,female,1,15
Akanksha,female,1,28
Akash,male,1,
Akatsuki,unknown,unknown,
Akbar,male,1,
Ake,male,0.95,
Akemi,female,1,
Akemichi,unknown,unknown,unknown
Akhil,male,1,
Akhilesh,male,1,
Akhlaque,unknown,unknown,unknown
Akhtar,male,1,8
Aki,male,0.63,
Akif,male,1,
Akifumi,unknown,unknown,unknown
Akihide,unknown,unknown,unknown
Akihiko,male,1,
Akihiro,male,1,
Akihisa,unknown,unknown,unknown
Akihito,male,1,
Akiko,female,1,
Akil,male,1,
Akilah,female,1,
Akimasa,male,1,
Akimi,female,1,4
Akimitsu,unknown,unknown,unknown
Akin,male,0.98,
Akino,unknown,unknown,
Akinobu,female,1,
Akinori,male,1,
Akintayo,male,1,1
Akinyele,unknown,unknown,unknown
Akio,male,1,
Akira,male,0.86,
Akiro,unknown,unknown,
Akitada,unknown,unknown,unknown
Akitake,unknown,unknown,
Akito,male,0.67,
Akitomo,unknown,unknown,
Akitoshi,unknown,unknown,unknown
Akiva,male,1,
Akiyasu,unknown,unknown,unknown
Akiyoshi,unknown,unknown,unknown
Akiyuki,unknown,unknown,
Akli,male,1,1
Aklilu,male,1,
Akos,male,0.83,6
Akpa,unknown,unknown,unknown
Akram,male,0.94,
Aksam,unknown,unknown,unknown
Akshar,male,1,1
Akshat,male,1,7
Akshata,female,1,6
Akshay,male,1,
Akshaya,female,0.67,6
Akshitkumar,unknown,unknown,
Akshyaya,unknown,unknown,unknown
Aksorn,unknown,unknown,
Aktar,unknown,unknown,unknown
Akwasi,male,1,
Akylbek,unknown,unknown,unknown
Al,male,0.94,
Ala,female,0.5,
Alaa,male,0.68,
Alaaddin,male,1,
Alaaeldin,unknown,unknown,
Aladin,male,1,20
Aladine,unknown,unknown,
Alagappan,male,1,
Alaiddin,male,1,
Alaide,unknown,unknown,unknown
Alain,male,1,
Alaina,female,1,61
Alaittin,unknown,unknown,
Alamgir,male,1,8
Alan,male,1,
Alana,female,1,259
Aland,male,1,2
Alangar,unknown,unknown,
Alanna,female,1,73
Alasdair,male,1,
Alastair,male,1,
Alawi,unknown,unknown,unknown
Alba,female,0.99,
Alban,male,1,
Albane,female,1,17
Albarello,unknown,unknown,unknown
Alben,male,1,2
Albère,unknown,unknown,
Alberico,male,1,2
Albert,male,0.99,
Alberta,female,0.9,20
Albertino,male,1,3
Alberto,male,1,
Albertus,male,1,7
Albin,male,1,22
Albino,male,1,
Alborz,male,1,1
Albrecht,male,1,
Alda,female,1,
Aldemar,male,1,
Aldo,male,1,
Aldons,unknown,unknown,unknown
Aldous,male,1,
Aldrin,male,0.97,37
Aldwyn,male,1,1
Ale,female,0.67,518
Aleandro,male,1,
Aleardo,unknown,unknown,unknown
Alec,male,0.97,
Alecio,male,1,
Alécio,male,1,
Aleck,male,1,1
Aleem,male,1,9
Aleix,male,1,
Alejandra,female,0.99,
Alejandro,male,1,
Alejo,male,1,
Aleksa,male,0.75,
Aleksandar,male,0.99,
Aleksander,male,1,
Aleksandr,male,1,
Aleksandra,female,0.99,
Aleksandras,male,1,1
Aleksandre,unknown,unknown,unknown
Aleksei,male,1,2
Aleksey,male,1,
Aleksi,male,0.97,29
Alem,female,0.67,
Alen,male,1,66
Alena,female,0.99,
Ales,male,0.98,
Aleš,male,0.98,
Alesia,female,1,
Alessandra,female,1,
Alessandria,unknown,unknown,
Alessandro,male,1,
Alessia,female,1,
Alessio,male,1,
Alev,female,0.86,
Alex,male,0.87,
Alexa,female,0.98,252
Alexander,male,1,
Alexandra,female,1,
Alexandre,male,1,
Alexandro,male,1,31
Alexandros,male,1,
Alexandru,male,1,30
Alexane,female,1,14
Alexei,male,1,
Alexej,male,1,5
Alexey,male,1,
Alexi,male,0.65,
Alexia,female,1,226
Alexina,female,0.67,3
Alexios,unknown,unknown,unknown
Alexis,male,0.52,
Aleyna,female,0.92,26
Alf,male,0.96,
Alfio,male,1,17
Alfons,male,1,
Alfonso,male,1,
Alfred,male,1,
Alfreda,female,1,6
Alfredas,male,1,1
Alfredo,male,1,
Alfried,unknown,unknown,unknown
Alhakam,unknown,unknown,unknown
Ali,male,0.85,
Alia,female,0.99,
Aliakbar,male,1,2
Aliana,female,1,7
Aliasgar,male,1,
Aliasghar,unknown,unknown,unknown
Alice,female,1,
Alicia,female,0.99,
Alicja,female,1,33
Alida,female,1,37
Alidene,unknown,unknown,unknown
Alie,female,1,19
Alier,unknown,unknown,unknown
Aliette,female,1,2
Alihan,male,0.74,
Alijca,unknown,unknown,unknown
Alik,unknown,unknown,unknown
Alim,male,1,
Alina,female,0.98,
Alinda,female,1,4
Aline,female,1,
Alireza,male,1,
Ali-Reza,unknown,unknown,
Alisa,female,0.98,
Alisdair,male,1,3
Alisha,female,1,263
Alisi,female,1,1
Alison,female,0.99,
Alissa,female,1,
Alisson,female,0.69,
Alistair,male,1,
Alita,female,1,
Alix,female,0.86,122
Aliya,female,1,56
Aliza,female,1,
Aljarrah,unknown,unknown,
Aljaz,unknown,unknown,unknown
Aljoscha,unknown,unknown,unknown
Alka,female,0.94,33
Alke,unknown,unknown,unknown
Alkis,male,1,
Alkiviadis,male,1,2
Alkystis,unknown,unknown,unknown
Alla,female,0.93,44
Allan,male,1,
Allard,male,1,
Allart,unknown,unknown,unknown
Allen,male,0.99,
Allie,female,0.99,297
Allison,female,1,
Allmut,unknown,unknown,unknown
Allon,male,1,
Ally,female,0.86,244
Allyah,unknown,unknown,unknown
Allyson,female,1,
Alma,female,0.99,364
Almas,female,0.67,
Almaz,male,0.67,3
Almira,female,1,13
Al-Moataz,unknown,unknown,
Almon,male,1,
Almudena,female,0.99,141
Almuktafi,unknown,unknown,unknown
Almunder,unknown,unknown,
Almut,female,1,8
Almuth,female,1,
Alois,male,1,
Alok,male,1,
Aloke,male,1,
Alon,male,0.98,
Alonso,male,0.99,131
Alonzo,male,1,
Aloys,male,0.67,3
Aloysius,male,1,23
Alp,male,0.99,
Alparslan,male,1,
Alpaslan,male,0.9,
Alper,male,0.98,
Alpesh,male,1,
Alphonse,male,1,8
Alpo,male,1,3
Alptekin,male,1,
Alta,female,0.94,
Altaf,male,0.9,21
Altair,male,0.6,5
Althea,female,1,35
Altin,male,1,6
Alton,male,1,23
Altug,male,1,
Alummoottil,unknown,unknown,unknown
Alun,male,1,8
Aluns,unknown,unknown,unknown
Alvaro,male,1,
Alvin,male,1,
Alvine,male,1,1
Alvise,male,1,5
Al-Wala,unknown,unknown,
Alwina,unknown,unknown,
Alwyn,male,0.95,
Aly,female,0.55,177
Alyf,unknown,unknown,unknown
Alykhan,male,1,
Alysha,female,1,42
Alyson,female,0.99,
Alyssa,female,1,
Alysson,male,0.57,7
Ama,female,0.74,23
Amaar,male,1,2
Amabile,female,1,
Amac,male,1,
Amadea,female,1,1
Amadeo,male,1,8
Amal,female,0.92,
Amala,female,1,3
Amalea,female,1,2
Aman,male,0.86,
Amanda,female,1,
Amandeep,male,0.54,
Amandine,female,1,256
Amani,female,0.95,60
Amanuel,male,1,5
Amany,female,1,36
Amar,male,0.88,
Amarachi,female,1,5
Amariel,unknown,unknown,
Amarild,unknown,unknown,unknown
Amarilla,unknown,unknown,unknown
Amarjit,male,0.77,
Amartya,male,1,1
Amato,male,0.67,3
Amaya,female,1,17
Ambar,female,0.86,37
Ambarish,male,1,2
Amber,female,1,
Ambika,female,1,8
Ambra,female,1,23
Ambreen,female,1,
Ambrosio,male,1,4
Ambuj,male,1,2
Ambur,female,1,
Amedeo,male,1,15
Amee,female,1,
Ameen,male,1,
Ameer,male,1,48
Ameet,male,1,
Amel,female,0.91,95
Amelia,female,1,
Amélia,female,1,
Amelie,female,0.99,275
Amélie,unknown,unknown,
Amely,female,1,17
Amena,female,0.93,14
Amer,male,1,
Amerigo,male,1,
Amerjeet,unknown,unknown,unknown
Amey,female,0.52,
Ameya,female,0.59,
Amgad,male,1,
Ami,female,0.86,
Amiirah,unknown,unknown,unknown
Amil,female,0.5,4
Amilcar,male,1,26
Amin,male,0.91,
Amina,female,0.99,
Amine,male,0.98,
Amir,male,1,
Amira,female,0.99,
Amirali,male,1,
Amiram,unknown,unknown,unknown
Amish,male,1,
Amisha,female,1,20
Amit,male,0.99,
Amita,female,1,
Amitabh,male,1,
Amitabha,unknown,unknown,unknown
Amitava,male,1,8
Amitesh,male,1,1
Amjad,male,0.98,
Ammar,male,1,
Ammara,female,1,25
Amna,female,0.98,41
Amneet,female,1,2
Amnon,male,1,
Amnuay,unknown,unknown,
Amol,male,1,
Amole,unknown,unknown,
Amos,male,1,
Ampar,female,1,
Amparo,female,0.99,172
Amphia,unknown,unknown,unknown
Amr,male,0.99,
Amrei,unknown,unknown,
Amresh,unknown,unknown,unknown
Amrit,male,0.69,32
Amrita,female,1,108
Amritha,female,1,8
Amrithlal,unknown,unknown,
Amro,male,1,
Amul,unknown,unknown,unknown
Amulya,female,1,2
Amy,female,0.99,
Amylynn,female,1,2
Amytis,unknown,unknown,unknown
An,female,0.83,
Ana,female,0.99,
Anaadriana,unknown,unknown,unknown
Anabel,female,0.99,146
Anabella,female,1,53
Anahat,unknown,unknown,
Anahita,female,1,
Anai,female,1,10
Anais,female,1,2
Analia,female,0.99,148
Analyn,female,1,14
Anamaria,female,1,
Anamika,female,1,8
Anand,male,1,
Ananda,female,0.76,
Anandhi,female,1,2
Anant,male,0.98,
Ananth,male,1,
Ananthababu,unknown,unknown,
Ananthaiah,unknown,unknown,unknown
Anapoorna,unknown,unknown,unknown
Anar,male,0.82,
Anas,male,0.99,
Anastase,male,1,4
Anastasia,female,0.99,
Anastasios,male,1,
Anastasis,male,1,2
Anastassia,female,1,9
Anastassios,male,1,
Anasthasios,unknown,unknown,unknown
Anat,female,0.98,
Anatol,unknown,unknown,unknown
Anatole,male,1,
Anatoli,male,0.82,11
Anatoly,male,1,
Anbarasu,male,1,1
Anbesaw,unknown,unknown,
Anbiao,unknown,unknown,unknown
Anbuselvam,unknown,unknown,
Anca,female,0.98,
Ancai,unknown,unknown,unknown
Anco,male,1,2
Anda,female,0.8,
Andac,male,1,
Andelle,unknown,unknown,
Ander,male,0.97,30
Anders,male,1,
Anderson,male,0.99,
Andew,unknown,unknown,
Andi,male,0.59,238
Andis,male,1,1
Andoni,male,1,
Andra,female,0.93,45
Andrada,female,1,5
Andrae,male,0.86,7
Andras,male,0.94,
András,male,0.94,
Andre,male,0.95,
André,male,0.95,
Andrea,female,0.79,
Andreas,male,1,
Andreaso,unknown,unknown,unknown
Andree,female,0.84,58
Andreea,female,1,
Andrée-Anne,female,1,
Andrei,male,0.99,
Andreia,female,0.99,
Andreina,female,1,107
Andrej,male,0.99,
Andreji,unknown,unknown,unknown
Andrejs,male,1,1
Andres,male,1,
Andrés,male,1,
Andressa,female,1,56
Andreu,male,1,
Andrew,male,1,
Andrey,male,0.99,
Andrez,male,1,9
Andria,female,0.94,
Andriana,female,1,10
Andrie,male,0.88,8
Andries,male,1,15
Andrik,unknown,unknown,unknown
Andris,male,0.71,7
Andrius,male,1,
Andriy,male,1,
Andros,male,1,8
Andry,male,0.83,
Andrzej,male,0.98,
Andy,male,0.95,
Ane,female,0.98,
Aneela,female,1,
Anees,male,0.75,16
Aneesh,male,0.95,
Aneesha,female,1,2
Aneil,male,1,3
Anelechi,unknown,unknown,unknown
Aneta,female,1,
Anett,female,1,
Anetta,female,1,4
Anette,female,0.99,
Ang,female,0.61,88
Ange,female,0.97,61
Angel,male,0.61,
Angela,female,1,
Angeles,female,1,
Angelica,female,1,
Angeliek,unknown,unknown,unknown
Angelika,female,1,74
Angeliki,female,1,
Angelina,female,0.99,
Angeline,female,1,77
Angelino,male,1,4
Angelique,female,1,174
Angelo,male,1,
Angelos,male,1,
Angels,female,0.87,
Angharad,female,1,13
Angie,female,1,
Anguo,unknown,unknown,unknown
Angus,male,0.96,
Anh,female,0.54,
Anho,unknown,unknown,unknown
Anhquyen,unknown,unknown,unknown
Ani,female,0.86,189
Ania,female,0.97,
Anibal,male,0.98,90
Aníbal,male,0.98,
Anica,female,1,
Anice,female,0.67,
Anick,female,1,
Anie,female,0.96,25
Aniela,female,1,4
Anik,female,0.86,57
Anika,female,1,100
Anike,female,1,
Aniket,male,1,15
Aniko,female,1,5
Anil,male,0.99,
Anilkumar,male,1,10
Animesh,male,1,34
Anina,female,1,
Anindita,female,0.9,10
Anique,female,0.86,7
Anirban,male,1,11
Aniruddh,male,1,
Aniruddha,male,1,
Anirudh,male,1,
Anis,male,0.73,
Anisa,female,1,47
Anish,male,1,67
Anisha,female,1,37
Anissa,female,1,57
Anisur,male,1,
Anita,female,1,
Anitha,female,1,62
Anja,female,1,
Anjali,female,1,
Anjan,male,1,5
Anjana,female,1,11
Anjanette,female,1,4
Anjani,male,0.65,
Anje,unknown,unknown,unknown
Anji,female,0.71,
Anjing,unknown,unknown,
Anju,female,0.92,26
Anjum,female,0.7,10
Anka,female,1,22
Anke,female,1,
Ankeet,unknown,unknown,unknown
Ankie,female,0.75,4
Ankit,male,1,
Ankita,female,1,49
Ankmalika,unknown,unknown,
Ankur,male,1,
Ankush,male,1,30
Anmin,unknown,unknown,
An-Min,unknown,unknown,
Ann,female,0.99,
Anna,female,1,
Annabel,female,1,
Annabelle,female,1,142
Annachiara,female,1,7
Anna-Elisabeth,unknown,unknown,
Annahita,female,1,1
Annaleena,unknown,unknown,
Anna-Lena,female,1,
Annalisa,female,1,156
Anna-Louise,female,1,
Anna-Maija,female,1,
Annamari,female,1,2
AnnaMaria,female,1,111
Anna-Maria,female,1,
Annamária,female,1,
Annapaola,female,1,
Annapoorna,unknown,unknown,unknown
Annarita,female,1,
Annarosa,female,1,1
Ann-Christin,female,1,
Ann-Christine,female,1,
Anne,female,1,
Annefloor,unknown,unknown,
Annegret,female,1,3
Annegrete,female,1,1
Annekathrin,unknown,unknown,unknown
Anne-Kathrin,female,1,
Anneke,female,1,41
Anne-Laure,female,1,
Anneli,female,1,
Annelie,female,1,
Annelieke,unknown,unknown,unknown
Annelien,female,1,
Annelies,female,1,
Anneliese,female,1,
Anneline,female,1,2
Anneloes,female,1,
Anne-Louise,female,1,
Annemarie,female,1,
Anne-Marie,female,1,
Annemarieke,unknown,unknown,unknown
Anne-Mette,female,1,
Annemie,female,1,17
Annemiek,female,1,
Annemieke,female,1,
Annemien,unknown,unknown,unknown
Annerie,female,1,3
Anne-Sofie,female,1,
Anne-Sophie,female,0.99,
Annet,female,1,5
Annetine,unknown,unknown,unknown
Annett,female,1,11
Annette,female,1,
Anne-Violette,unknown,unknown,
Annewieke,unknown,unknown,unknown
Annibale,male,1,2
Annica,female,0.98,40
Annick,female,0.99,
Annie,female,1,
Anniek,female,1,2
Annik,female,1,10
Annika,female,1,
Annina,female,1,
Annitta,female,1,1
Annlouise,female,1,
Annmarie,female,1,
Anno,male,1,
Annouk,unknown,unknown,unknown
Ann-Shung,unknown,unknown,
Annu,female,1,
Annunziata,female,1,3
Annunziato,male,1,
Anny,female,0.96,132
Anoar,unknown,unknown,unknown
Anooj,male,1,
Anoop,male,1,
Anoosha,unknown,unknown,unknown
Anoshirvan,unknown,unknown,
Anouar,male,1,
Anouk,female,1,
Anousheh,unknown,unknown,
Anoushka,female,1,
Anouska,female,1,3
Anren,unknown,unknown,unknown
Ans,female,1,9
Anselm,male,1,2
Anselma,female,1,2
Ansgar,male,1,
Anshu,female,0.88,52
Anshul,male,0.82,33
Anshuma,unknown,unknown,unknown
Ansi,male,0.67,
Anson,male,0.98,80
Anssi,male,1,8
Anta,female,1,6
Antao,unknown,unknown,unknown
Ante,male,1,42
Antero,male,1,
Anthea,female,1,
Anthon,male,1,7
Anthonie,male,1,
Anthonius,unknown,unknown,unknown
Anthony,male,1,
Anthoula,female,1,
Antigone,female,1,4
Antigoni,female,1,11
Antine,unknown,unknown,unknown
Antje,female,1,
Anto,female,0.57,
Antoine,male,1,
Antoinette,female,1,
Anton,male,1,
Antone,male,1,6
Antonella,female,0.89,
Antonello,male,1,
Antonette,female,1,15
Antoni,male,1,
Antonia,female,0.98,
Antónia,female,0.98,
Antònia,female,0.98,
Antonie,female,0.5,6
Antonietta,female,1,
Antonin,male,1,43
Antonina,female,0.91,
Antonino,male,1,
Antonio,male,1,
António,male,1,
Antônio,male,1,
Antonios,male,1,
Antonis,male,0.97,
Antonius,male,1,
Antony,male,1,
Antoon,male,1,3
Antoun,unknown,unknown,
Antreas,male,1,15
Antronette,unknown,unknown,unknown
Antti,male,1,
Anu,female,0.92,
Anubhav,male,1,
Anuj,male,1,
Anuja,female,1,14
Anukul,male,1,
Anup,male,0.99,
Anupa,female,0.75,4
Anupam,male,0.98,
Anupama,female,1,
Anupreet,female,1,
Anuradha,female,0.91,
Anurag,male,1,64
Anurut,unknown,unknown,unknown
Anusha,female,1,38
Anushka,female,0.95,
Anushree,female,1,42
Anvesha,female,1,1
Anwar,male,0.95,
Anwarul,unknown,unknown,unknown
Anwer,male,1,4
Anxin,unknown,unknown,unknown
Anxo,male,1,1
Any,female,0.99,
Anya,female,1,113
Anyu,female,1,2
Ao,female,0.75,4
Aoi,female,0.67,6
Aoibheann,female,1,3
Aoife,female,0.99,
Aoki,female,1,
Aonnicha,unknown,unknown,
Aouatef,female,1,1
Aozhi,unknown,unknown,unknown
Apar,male,1,
Aparna,female,1,
Aphrodite,female,1,1
Apichard,unknown,unknown,unknown
Apollonia,female,1,1
Apoor,unknown,unknown,unknown
Apostolia,female,1,3
Apostolos,male,1,
Appaji,unknown,unknown,
April,female,1,
Apurva,female,0.62,13
Aquiles,male,0.95,22
Ara,female,0.88,
Arabella,female,1,
Araceli,female,1,
Aram,male,0.88,25
Arantxa,female,0.99,72
Arantza,female,1,9
Aranzazu,female,1,12
Arasch,unknown,unknown,
Arash,male,1,
Arata,male,1,
Aravind,male,1,
Aravinda,male,0.75,4
Aravindan,male,1,1
Araz,male,1,3
Arbind,unknown,unknown,unknown
Arcadio,male,1,3
Arcangelo,male,1,8
Archana,female,0.99,
Archibald,male,1,
Archie,male,0.94,
Archit,male,1,
Archontis,male,1,1
Arco,female,1,1
Arda,male,0.96,
Ardalan,male,1,
Ardan,unknown,unknown,unknown
Ardavan,male,1,3
Ardawan,unknown,unknown,unknown
Ardeschir,unknown,unknown,unknown
Ardian,male,1,
Are,male,0.65,
Areef,male,1,1
